"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10149",19,17,7,55,20,37,-2.01898104450502,0.83018216323288,-2.64210066600856,0.0271071360293498,0.999663399188046,-4.57578323415034
"2","1021",1339,328,329,54,34,212,2.3697906985221,3.9996869133784,2.92331864643944,0.0171687788334547,0.999663399188046,-4.54661878692923
"3","10266",4569,3680,1816,1635,797,755,1.1270624959467,7.16422126467058,2.45803354863476,0.0366004697604582,0.999663399188046,-4.54695377775777
"4","10296",16,9,4,22,52,42,-2.55875186019385,0.559411128482554,-2.80946370848557,0.020646088616671,0.999663399188046,-4.57714822174411
"5","10372",42,26,10,49,59,77,-1.9418369295408,1.60144303144315,-2.79467657277349,0.0211477451731321,0.999663399188046,-4.56779897236173
"6","1057",521,553,342,511,1535,1331,-1.74126079801552,5.79992894226642,-2.42916296569071,0.0383658139864073,0.999663399188046,-4.54690237715277
"7","11066",52,136,126,162,395,305,-2.29512522115207,3.71593086366752,-2.52617381094957,0.0327488930849123,0.999663399188046,-4.55402791141729
"8","1611",81,39,12,74,234,141,-2.40473975910854,2.46872775908497,-3.1456771674112,0.012007726895702,0.999663399188046,-4.55525219217161
"9","2369",631,513,230,699,656,761,-1.31509326431535,5.46929076526625,-2.72226564408989,0.0237894887791703,0.999663399188046,-4.53768435611024
"10","2900",16,3,6,49,10,81,-2.86578067235292,0.366886923860679,-2.43676762564926,0.0378927462221511,0.999663399188046,-4.58188659366469
"11","2968",244,65,441,840,1307,288,-2.64250018709898,4.87870676994526,-2.86832835259891,0.0187665195728133,0.999663399188046,-4.5374900384848
"12","3682",46,22,2,38,145,67,-2.57701873981786,1.36002467824943,-2.69750678103,0.0247677347718974,0.999663399188046,-4.57290363791746
"13","63",142,95,75,145,225,250,-1.61870081337708,3.53665133704821,-2.55883392612823,0.0310494476105118,0.999663399188046,-4.55419863945236
"14","6375",19,13,23,34,136,32,-2.42115016860651,1.34954309499122,-2.56327056224613,0.0308255253769605,0.999663399188046,-4.57305900573209
"15","6403",64,94,9,0,1,0,5.28651908643609,-1.21915161994558,4.44133551083768,0.00167236429442314,0.999663399188046,-4.57809130378995
"16","6759",25,6,13,29,57,39,-2.30942182184074,0.906399499546142,-2.6787329870909,0.0255366067157012,0.999663399188046,-4.57519528709273
"17","733",42,29,20,4,0,0,4.11288988500054,-1.15029307032043,3.65748114712578,0.0053716107599354,0.999663399188046,-4.58100302853794
"18","7453",43,17,18,192,27,51,-2.17467442403247,1.68616422353838,-2.66578346740054,0.0260809898640121,0.999663399188046,-4.56886456909361
"19","7926",37,24,26,43,109,87,-2.07622006046197,1.91985354049567,-2.58421818628276,0.029790004091352,0.999663399188046,-4.56810715983696
"20","9016",21,20,9,54,162,63,-3.01836447695348,1.56860662979103,-3.61158677101262,0.00576624536846969,0.999663399188046,-4.56111359254756
